country_id,country_name,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data,wem_urbanization_perc,d_bar,u_bar,rising_income,falling_income,gini_case1,gini_case2,gini_case3
49,Belarus,8187447499.9999895,2055,17.100642960812795,40.35014292050658,89.23752306735592,NA,NA,26336.824998337,215631371990.5715,NA,202910,0,89.23752306735592,0,0,1,0,25.359758639317832,26.208104188122277,26.03541389782653
49,Belarus,8140967999.9999895,2056,16.913742509732412,40.121078310581,89.41490719135773,NA,NA,26592.12630425621,216485649294.9078,NA,202910,0,89.41490719135773,0,0,1,0,25.39495984612124,26.270023146241055,26.084183499938838
49,Belarus,8094180999.9999895,2057,16.728378787228454,39.89049825045581,89.58785671225948,NA,NA,26862.404333205497,217429162768.14932,NA,202910,0,89.58785671225948,0,0,1,0,25.429985046890636,26.331322914778642,26.13191978732457
49,Belarus,8046996000,2058,16.54447862029065,39.65795672958455,89.75648249513868,NA,NA,27156.153145924076,218525455740.63846,NA,202910,0,89.75648249513868,0,0,1,0,25.464835121656183,26.392009685630857,26.17863582122452
49,Belarus,7999418000,2059,16.361801994294453,39.42347838943374,89.92089263344592,NA,NA,27501.85008212833,219998794580.27884,NA,202910,0,89.92089263344592,0,0,1,0,25.4995109460479,26.452089588774548,26.22434451862661
49,Belarus,7951636999.9999895,2060,16.18040152385579,39.187999605736486,90,NA,NA,27897.648062267264,221831970544.9024,NA,202910,0,90,0,0,1,0,25.534013391317657,26.5115686928868,26.2690586537766
49,Belarus,7903905000,2061,16.000331826486725,38.952762308412595,90,NA,NA,28341.26202997377,224006642665.0198,NA,202910,0,90,0,0,1,0,25.568343324361066,26.570453005957933,26.312790859673413
49,Belarus,7856256499.99999,2062,15.82162650600526,38.717936523581834,90,NA,NA,28832.69014290115,226517009347.6528,NA,202910,0,90,0,0,1,0,25.60250160773926,26.628748475898355,26.35555362954908
49,Belarus,7808674000,2063,15.644340251109798,38.483436006111084,90,NA,NA,29368.9847296243,229332827464.6143,NA,202910,0,90,0,0,1,0,25.636489099700565,26.68646099113937,26.397359318333635
49,Belarus,7761221500,2064,15.468571013998275,38.24957616677345,90,NA,NA,29940.31826736223,232373441853.49448,NA,202910,0,90,0,0,1,0,25.67030665420206,26.74359638122798,26.43822014410494
