year,country_name,Gini_case1,Gini_case2,Gini_case3
1966,Italy,34,34,34
1966,Indonesia,32.3,32.3,32.3
1966,Mexico,50.1,50.1,50.1
1966,Iran,47.4,47.4,47.4
1966,Saudi Arabia,35.1,35.1,35.1
1966,Spain,34.5,34.5,34.5
1966,Ukraine,29.7,29.7,29.7
1966,South Africa,59.3,59.3,59.3
1966,Australia,31.3,31.3,31.3
1966,Taiwan,31.7,31.7,31.7
1966,Nigeria,38.7,38.7,38.7
1966,Thailand,45.2,45.2,45.2
1966,Poland,38,38,38
1966,Türkiye,43.5,43.5,43.5
1966,Netherlands,28.4,28.4,28.4
1966,Pakistan,33.3,33.3,33.3
1966,Argentina,40.8,40.8,40.8
1966,Malaysia,48.5,48.5,48.5
1966,Egypt,32,32,32
1966,Venezuela,55.6,55.6,55.6
1966,Kazakhstan,35.4,35.4,35.4
1966,Belgium,25.2,25.2,25.2
1966,Vietnam,35.7,35.7,35.7
1966,Sweden,24.3,24.3,24.3
1966,Uzbekistan,44.3,44.3,44.3
1966,United Arab Emirates,32.5,32.5,32.5
1966,Czechia,20.7,20.7,20.7
1966,Philippines,47.7,47.7,47.7
1966,Romania,39.6,39.6,39.6
1966,Finland,22.2,22.2,22.2
1966,Algeria,37.4,37.4,37.4
1966,Austria,30.8,30.8,30.8
1966,Iraq,28.6,28.6,28.6
1966,Greece,37,37,37
1966,Singapore,26.3,26.3,26.3
1966,Colombia,55.1,55.1,55.1
1966,Chile,56.2,56.2,56.2
1966,Belarus,32,32,32
1966,Switzerland,36,36,36
1966,Hungary,29.9,29.9,29.9
1966,Norway,26.9,26.9,26.9
1966,Portugal,38.8,38.8,38.8
1966,Kuwait,35.1,35.1,35.1
1966,Bangladesh,25.9,25.9,25.9
1966,Ethiopia,44.6,44.6,44.6
1966,North Korea,59.3,59.3,59.3
1966,Israel,36.3,36.3,36.3
1966,Denmark,26.2,26.2,26.2
1966,Tanzania,35.3,35.3,35.3
1966,Bulgaria,35.7,35.7,35.7
1966,Syria,35.2,35.2,35.2
1966,Slovakia,27.1,27.1,27.1
1966,Qatar,35.1,35.1,35.1
1966,Kenya,56.9,56.9,56.9
1966,Libya,35.2,35.2,35.2
1966,Sudan,35.4,35.4,35.4
1966,New Zealand,31.3,31.3,31.3
1966,DR Congo,41.6,41.6,41.6
1966,Turkmenistan,40.8,40.8,40.8
1966,Myanmar,38.1,38.1,38.1
1966,Ireland,35.5,35.5,35.5
1966,Oman,35.1,35.1,35.1
1966,Azerbaijan,34.6,34.6,34.6
1966,Morocco,36.5,36.5,36.5
1966,Peru,53.3,53.3,53.3
1966,Mozambique,53.3,53.3,53.3
1966,Ecuador,50.5,50.5,50.5
1966,Angola,51.9,51.9,51.9
1966,Yemen,35,35,35
1967,USA,36.9,36.9,36.9
1967,China,32.2,32.2,32.2
1967,Russia,36.9,36.9,36.9
1967,India,33.2,33.2,33.2
1967,Japan,34.8,34.8,34.8
1967,Germany,29.5,29.5,29.5
1967,France,37.1,37.1,37.1
1967,Canada,37.2,37.2,37.2
1967,United Kingdom,26.8,26.8,26.8
1967,Brazil,57.9,57.9,57.9
1967,South Korea,31.7,31.7,31.7
1967,Italy,34,34,34
1967,Indonesia,32.3,32.3,32.3
1967,Mexico,50.1,50.1,50.1
1967,Iran,47.4,47.4,47.4
1967,Saudi Arabia,35.1,35.1,35.1
1967,Spain,34.5,34.5,34.5
1967,Ukraine,29.7,29.7,29.7
1967,South Africa,59.3,59.3,59.3
1967,Australia,31.3,31.3,31.3
1967,Taiwan,31.7,31.7,31.7
1967,Nigeria,38.7,38.7,38.7
1967,Thailand,45.2,45.2,45.2
1967,Poland,38,38,38
1967,Türkiye,43.5,43.5,43.5
1967,Netherlands,28.4,28.4,28.4
1967,Pakistan,33.3,33.3,33.3
1967,Argentina,40.8,40.8,40.8
1967,Malaysia,48.5,48.5,48.5
1967,Egypt,32,32,32
1967,Venezuela,55.6,55.6,55.6
1967,Kazakhstan,35.4,35.4,35.4
1967,Belgium,25.2,25.2,25.2
1967,Vietnam,35.7,35.7,35.7
1967,Sweden,24.3,24.3,24.3
1967,Uzbekistan,44.3,44.3,44.3
1967,United Arab Emirates,32.5,32.5,32.5
1967,Czechia,20.7,20.7,20.7
1967,Philippines,47.7,47.7,47.7
1967,Romania,39.6,39.6,39.6
1967,Finland,22.2,22.2,22.2
1967,Algeria,37.4,37.4,37.4
1967,Austria,30.8,30.8,30.8
1967,Iraq,28.6,28.6,28.6
1967,Greece,37,37,37
1967,Singapore,26.3,26.3,26.3
1967,Colombia,55.1,55.1,55.1
1967,Chile,56.2,56.2,56.2
1967,Belarus,32,32,32
1967,Switzerland,36,36,36
1967,Hungary,29.9,29.9,29.9
1967,Norway,26.9,26.9,26.9
1967,Portugal,38.8,38.8,38.8
1967,Kuwait,35.1,35.1,35.1
1967,Bangladesh,25.9,25.9,25.9
1967,Ethiopia,44.6,44.6,44.6
1967,North Korea,59.3,59.3,59.3
1967,Israel,36.3,36.3,36.3
1967,Denmark,26.2,26.2,26.2
1967,Tanzania,35.3,35.3,35.3
1967,Bulgaria,35.7,35.7,35.7
1967,Syria,35.2,35.2,35.2
1967,Slovakia,27.1,27.1,27.1
1967,Qatar,35.1,35.1,35.1
1967,Kenya,56.9,56.9,56.9
1967,Libya,35.2,35.2,35.2
1967,Sudan,35.4,35.4,35.4
1967,New Zealand,31.3,31.3,31.3
1967,DR Congo,41.6,41.6,41.6
1967,Turkmenistan,40.8,40.8,40.8
1967,Myanmar,38.1,38.1,38.1
1967,Ireland,35.5,35.5,35.5
1967,Oman,35.1,35.1,35.1
1967,Azerbaijan,34.6,34.6,34.6
1967,Morocco,36.5,36.5,36.5
1967,Peru,53.3,53.3,53.3
1967,Mozambique,53.3,53.3,53.3
1967,Ecuador,50.5,50.5,50.5
1967,Angola,51.9,51.9,51.9
1967,Yemen,35,35,35
1968,USA,36.3,36.3,36.3
1968,China,32.2,32.2,32.2
1968,Russia,36.9,36.9,36.9
1968,India,33.2,33.2,33.2
1968,Japan,34.8,34.8,34.8
1968,Germany,29.5,29.5,29.5
1968,France,37.1,37.1,37.1
1968,Canada,37.2,37.2,37.2
1968,United Kingdom,26.8,26.8,26.8
1968,Brazil,57.9,57.9,57.9
1968,South Korea,31.7,31.7,31.7
1968,Italy,34,34,34
1968,Indonesia,32.3,32.3,32.3
1968,Mexico,50.1,50.1,50.1
1968,Iran,47.4,47.4,47.4
1968,Saudi Arabia,35.1,35.1,35.1
1968,Spain,34.5,34.5,34.5
1968,Ukraine,29.7,29.7,29.7
1968,South Africa,59.3,59.3,59.3
1968,Australia,31.3,31.3,31.3
1968,Taiwan,31.7,31.7,31.7
1968,Nigeria,38.7,38.7,38.7
1968,Thailand,45.2,45.2,45.2
1968,Poland,38,38,38
1968,Türkiye,43.5,43.5,43.5
1968,Netherlands,28.4,28.4,28.4
1968,Pakistan,33.3,33.3,33.3
1968,Argentina,40.8,40.8,40.8
1968,Malaysia,48.5,48.5,48.5
1968,Egypt,32,32,32
1968,Venezuela,55.6,55.6,55.6
1968,Kazakhstan,35.4,35.4,35.4
1968,Belgium,25.2,25.2,25.2
1968,Vietnam,35.7,35.7,35.7
1968,Sweden,24.3,24.3,24.3
1968,Uzbekistan,44.3,44.3,44.3
1968,United Arab Emirates,32.5,32.5,32.5
1968,Czechia,20.7,20.7,20.7
1968,Philippines,47.7,47.7,47.7
1968,Romania,39.6,39.6,39.6
1968,Finland,22.2,22.2,22.2
1968,Algeria,37.4,37.4,37.4
1968,Austria,30.8,30.8,30.8
1968,Iraq,28.6,28.6,28.6
1968,Greece,37,37,37
1968,Singapore,26.3,26.3,26.3
1968,Colombia,55.1,55.1,55.1
1968,Chile,56.2,56.2,56.2
1968,Belarus,32,32,32
1968,Switzerland,36,36,36
1968,Hungary,29.9,29.9,29.9
1968,Norway,26.9,26.9,26.9
1968,Portugal,38.8,38.8,38.8
1968,Kuwait,35.1,35.1,35.1
1968,Bangladesh,25.9,25.9,25.9
1968,Ethiopia,44.6,44.6,44.6
1968,North Korea,59.3,59.3,59.3
1968,Israel,36.3,36.3,36.3
1968,Denmark,26.2,26.2,26.2
1968,Tanzania,35.3,35.3,35.3
1968,Bulgaria,35.7,35.7,35.7
1968,Syria,35.2,35.2,35.2
1968,Slovakia,27.1,27.1,27.1
1968,Qatar,35.1,35.1,35.1
1968,Kenya,56.9,56.9,56.9
1968,Libya,35.2,35.2,35.2
