country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
2,China,CHN,1990,32.2,120.915506084734,26.442,75.95298962000884,87618056965.60548,2152.9664839840193,2483624949886.8535,1.5695393436426397,2182.133849295269,105.43439894279993,119561660756.75742,NA,119.154261976407,25.701
2,China,CHN,1991,NA,122.576625036615,27.312,93.26878739956905,109198026494.42397,2255.8229187124994,2641091598939.717,1.827214499453535,2152.9664839840193,75.95298962000884,87618056965.60548,32.2,120.915506084734,26.442
2,China,CHN,1992,NA,124.088088834447,28.2,114.00938237747502,135052577140.63872,2425.6242350301277,2873331977459.522,2.16130019533875,2255.8229187124994,93.26878739956905,109198026494.42397,NA,122.576625036615,27.312
2,China,CHN,1993,33.9,125.522861023087,29.103,144.5232388630586,173038913322.03653,2660.6539011953796,3185623733669.0845,2.5082180584472615,2425.6242350301277,114.00938237747502,135052577140.63872,NA,124.088088834447,28.2
2,China,CHN,1994,NA,126.949644502437,30.024,143.841249704558,173904516944.52597,2877.567030254477,3478987462913.0234,2.2820232587381364,2660.6539011953796,144.5232388630586,173038913322.03653,33.9,125.522861023087,29.103
2,China,CHN,1995,NA,128.336621134526,30.961,168.04599081951972,205038615703.50247,3137.663712153791,3828369965541.585,2.3676427520483116,2877.567030254477,143.841249704558,173904516944.52597,NA,126.949644502437,30.024
2,China,CHN,1996,35.2,129.688982907321,31.916,213.00118361091788,262192700424.7105,3345.7145804429006,4118389981808.943,2.9069393448627987,3137.663712153791,168.04599081951972,205038615703.50247,NA,128.336621134526,30.961
2,China,CHN,1997,NA,131.023100200996,32.883,224.76267549190845,278961862998.7866,3474.992995625614,4312951506943.3945,2.8415981616737924,3345.7145804429006,213.00118361091788,262192700424.7105,35.2,129.688982907321,31.916
2,China,CHN,1998,NA,132.286384121395,33.867,232.21548709276394,290466074874.8893,3491.9192040143316,4367857104057.4526,2.984936695875823,3474.992995625614,224.76267549190845,278961862998.7866,NA,131.023100200996,32.883
2,China,CHN,1999,38.7,133.436760709953,34.865,252.11887745625268,317714324159.4132,3624.046741418489,4566939107412.496,3.2169753368267093,3491.9192040143316,232.21548709276394,290466074874.8893,NA,132.286384121395,33.867
2,China,CHN,2000,NA,134.492481002789,35.877,327.93323939105596,416337866403.8534,3855.3734697866953,4894709568269.499,4.091646302481971,3624.046741418489,252.11887745625268,317714324159.4132,38.7,133.436760709953,34.865
2,China,CHN,2001,NA,135.473048750848,37.093,345.8727467763074,442276152332.62585,4063.8240830403283,5196513735053.429,4.20346782453699,3855.3734697866953,327.93323939105596,416337866403.8534,NA,134.492481002789,35.877
2,China,CHN,2002,42,136.383779609948,38.425,372.57686569049343,479456810455.0379,4398.6551847815945,5660483458301.61,4.30967552949336,4063.8240830403283,345.8727467763074,442276152332.62585,NA,135.473048750848,37.093
2,China,CHN,2003,NA,137.235919250104,39.776,412.99444725947427,534628466693.1938,4722.325545220409,6113132227855.565,4.336226428782218,4398.6551847815945,372.57686569049343,479456810455.0379,42,136.383779609948,38.425
2,China,CHN,2004,NA,138.053436689892,41.144,489.14500927748884,636915872128.3312,5202.144700542894,6773714268858.916,4.408092417965022,4722.325545220409,412.99444725947427,534628466693.1938,NA,137.235919250104,39.776
2,China,CHN,2005,40.9,138.867766063821,42.522,530.9439714550767,695551008177.9839,5656.191094731851,7409763797875.506,4.1825560932284445,5202.144700542894,489.14500927748884,636915872128.3312,NA,138.053436689892,41.144
