country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
9,United Kingdom,GBR,1980,28.5,232.770702269251,78.481,4352.574804949652,245164556108.13013,21819.909213374984,1229035363282.7813,22302.823400512418,4243.299856564588,238749917776.1345,27.4,232.492667300459,78.323
9,United Kingdom,GBR,1981,29.7,232.85177117348,78.588,4234.72601734946,238820958443.996,21641.972959785635,1220517384997.219,21819.909213374984,4352.574804949652,245164556108.13013,28.5,232.770702269251,78.481
9,United Kingdom,GBR,1982,29.9,232.768325548712,78.539,4362.62043005285,246270503505.00058,22047.259014098847,1244570703631.3289,21641.972959785635,4234.72601734946,238820958443.996,29.7,232.85177117348,78.588
9,United Kingdom,GBR,1983,29.8,232.847716281569,78.489,4379.661213021312,247457918549.5795,22951.911763366308,1296820013111.959,22047.259014098847,4362.62043005285,246270503505.00058,29.9,232.768325548712,78.539
9,United Kingdom,GBR,1984,29.2,233.216517174389,78.44,4537.661389719693,256687575253.16452,23438.567319647354,1325878794376.0598,22951.911763366308,4379.661213021312,247457918549.5795,29.8,232.847716281569,78.489
9,United Kingdom,GBR,1985,30.4,233.746405985202,78.39,4593.111937864199,260167843889.92307,24373.19621127511,1380572037602.4875,23438.567319647354,4537.661389719693,256687575253.16452,29.2,233.216517174389,78.44
9,United Kingdom,GBR,1986,31.9,234.288414004051,78.34,4863.305642556907,275855980096.2994,25107.13134979131,1424124419673.91,24373.19621127511,4593.111937864199,260167843889.92307,30.4,233.746405985202,78.39
9,United Kingdom,GBR,1987,33.9,234.787128508246,78.29,5012.329435626235,284832246478.9742,26413.202905646733,1500965173367.614,25107.13134979131,4863.305642556907,275855980096.2994,31.9,234.288414004051,78.34
9,United Kingdom,GBR,1988,34.3,235.3090852726,78.24,5395.179637522796,307269766792.6034,27830.916994637537,1585044419112.8096,26413.202905646733,5012.329435626235,284832246478.9742,33.9,234.787128508246,78.29
9,United Kingdom,GBR,1989,33.4,235.92241970818,78.19,5595.718891088288,319381805403.92535,28449.574646058114,1623790739006.303,27830.916994637537,5395.179637522796,307269766792.6034,34.3,235.3090852726,78.24
9,United Kingdom,GBR,1990,35.7,236.628719050965,78.14,5756.0864085523845,329308250501.5177,28562.64556639269,1634081591823.989,28449.574646058114,5595.718891088288,319381805403.92535,33.4,235.92241970818,78.19
9,United Kingdom,GBR,1991,35,237.361621130079,78.112,5892.877504207365,338012233183.7784,28150.46016247294,1614695010692.969,28562.64556639269,5756.0864085523845,329308250501.5177,35.7,236.628719050965,78.14
