country_id,country_name,iso3c,wem_regions,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data
65,Kenya,KEN,East Africa,104195503000,2100,15.773216359231638,183.07534701479423,73.90153451893156,NA,NA,60443.70555889854,6297962303893.329,NA,569140,0
66,Libya,LBY,North Africa,1492900000,1960,NA,0.8484603930572763,27.323,33.13091264910967,49461139.49385583,22411.278929988166,33457798314.579334,3.2875934068595423,1759540,1
66,Libya,LBY,North Africa,1555709000,1961,NA,0.8841566545801745,28.197,44.93423222470924,69904589.48007019,23614.939953378333,36737974619.93025,4.1124921535199865,1759540,1
66,Libya,LBY,North Africa,1621972000,1962,NA,0.9218159291633041,29.089,60.6540758169973,98379212.66104674,30048.578481629575,48737952937.005684,5.078026778658147,1759540,1
66,Libya,LBY,North Africa,1690472999.9999998,1963,NA,0.9607471270900347,29.998,81.52364863084277,137813526.87192667,38920.98230780997,65794869724.83044,6.186673532986426,1759540,1
66,Libya,LBY,North Africa,1753706000.0000005,1964,NA,0.9966843606851794,30.924,109.53306736710685,192088797.44009954,53088.908555297625,93102337466.8768,7.434460303313445,1759540,1
66,Libya,LBY,North Africa,1804027000,1965,NA,1.0252833126839969,33.666,147.6118275599619,266295722.4375154,66161.65684380356,119357415310.9564,8.810050907088936,1759540,1
66,Libya,LBY,North Africa,1849078000,1966,NA,1.0508871636905102,36.698,198.49787604898455,367038055.64890426,76464.73873027356,141389266161.89676,10.294333877432178,1759540,1
66,Libya,LBY,North Africa,1898207000,1967,NA,1.0788086659013152,39.839,264.8744271371226,502786491.71267605,82909.88582935499,157380125650.48245,11.860621237904589,1759540,1
66,Libya,LBY,North Africa,1952795000,1968,NA,1.1098326835422896,43.07,350.4114181911155,684281665.3865194,107747.94209683503,210409642586.98895,13.475497907603442,1759540,1
66,Libya,LBY,North Africa,2014303000,1969,NA,1.1447895472680358,46.352,459.2094488902997,924986970.5280774,117987.43323320581,237662440723.94617,15.100289523759503,1759540,1
66,Libya,LBY,North Africa,2082608000.0000002,1970,NA,1.1836093524443891,49.671,596.165856979558,1241579783.0724835,119584.37976986945,249047385983.7683,16.69304451289106,1759540,1
66,Libya,LBY,North Africa,2153537000,1971,NA,1.2239204564829445,52.992,768.2171372477538,1654384029.097116,108791.53346782025,234286592609.6892,18.21086352521538,1759540,1
66,Libya,LBY,North Africa,2226108000,1972,NA,1.2651647589710946,56.292,1262.365281191491,2810161451.3826275,93573.56551930791,208304862791.0555,22.35324955773938,1759540,1
